Profile_ID,Order,Distance_m,Easting_X,Northing_Y
Profile 1,1,0,464894,5754524
Profile 1,2,150,464850,5754389
Profile 2,1,0,464867,5754514
Profile 2,2,150,464830,5754382
Profile 4,1,0,464856,5754525
Profile 4,2,184,464811,5754344
Profile 5,1,0,464812,5754538
Profile 5,2,100,464805,5754437
Profile 5,3,200,464795,5754342
Profile 6,1,0,464785,5754539
Profile 6,2,142,464780,5754397
Profile 6,3,200,464780,5754341
Profile 7,1,0,464767,5754536
Profile 7,2,200,464751,5754355
Profile 8,1,0,464730,5754518
Profile 8,2,200,464716,5754320
Profile 9,1,0,464706,5754508
Profile 9,2,195,464701,5754307
Profile 10,1,0,464680,5754495
Profile 10,2,154,464678,5754338
Profile 11,1,0,464663,5754472
Profile 11,2,142,464656,5754335
Profile 12,1,0,464640,5754458
Profile 12,2,150,464628,5754303
